Dzielnica;Obręb;Numer
Stare Miasto;Stare Miasto;01
Śródmieście;Bartoszowice;02
Śródmieście;Biskupin;03
Śródmieście;Dąbie;04
Śródmieście;Plac Grunwaldzki;05
Śródmieście;Sępolno;06
Śródmieście;Zacisze;07
Śródmieście;Zalesie;08
Krzyki;Bieńkowice;09
Krzyki;Bierdzany;10
Krzyki;Borek;11
Krzyki;Brochów;12
Krzyki;Gaj;13
Krzyki;Jagodno;14
Krzyki;Klecina;15
Krzyki;Krzyki;16
Krzyki;Księże Małe;17
Krzyki;Księże Wielkie;18
Krzyki;Ołtaszyn;19
Krzyki;Opatowice;20
Krzyki;Partynice;21
Krzyki;Południe;22
Krzyki;Rakowiec;23
Krzyki;Świątniki;24
Krzyki;Tarnogaj;25
Krzyki;Wojszyce;26
Fabryczna;Gądów Mały;27
Fabryczna;Grabiszyn;28
Fabryczna;Jarnołtów;29
Fabryczna;Jerzmanowo;30
Fabryczna;Kozanów;31
Fabryczna;Kuźniki;32
Fabryczna;Leśnica;33
Fabryczna;Marszowice;34
Fabryczna;Maślice;35
Fabryczna;Mokra;36
Fabryczna;Muchobór Mały;37
Fabryczna;Muchobór Wielki;38
Fabryczna;Nowy Dwór;39
Fabryczna;Oporów;40
Fabryczna;Pilczyce;41
Fabryczna;Popowice;42
Fabryczna;Pracze Odrzańskie;43
Fabryczna;Ratyń;44
Fabryczna;Stabłowice;45
Fabryczna;Strachowice;46
Fabryczna;Złotniki;47
Fabryczna;Żar;48
Fabryczna;Żerniki;49
Psie Pole;Karłowice;50
Psie Pole;Kleczków;51
Psie Pole;Kłokoczyce;52
Psie Pole;Kowale;53
Psie Pole;Lipa Piotrowska;54
Psie Pole;Osobowice;55
Psie Pole;Pawłowice;56
Psie Pole;Polanowice;57
Psie Pole;Poświętne;58
Psie Pole;Psie Pole;59
Psie Pole;Rędzin;60
Psie Pole;Różanka;61
Psie Pole;Sołtysowice;62
Psie Pole;Strachocin;63
Psie Pole;Swojczyce;64
Psie Pole;Świniary;65
Psie Pole;Widawa;66
Psie Pole;Wojnów;67
Psie Pole;Zakrzów;68
Psie Pole;Zgorzelisko;69
