"Id";"Data transakcji / wyceny";"Województwo";"Powiat";"Gmina";"Miejscowość";"Dzielnica";"Obręb geodezyjny";"Arkusz mapy";"Ulica";"Nr domu";"Nr lokalu";"Powierzchnia użytkowa (m2)";"Cena";"Cena m2 p.u.";"Cena z uwzględnieniem miejsca postojowego";"Cena m2 p.u. z uwzględnieniem miejsca postojowego";"Kondygnacja lokalu";"Liczba kondygnacji";"Liczba izb";"Rok budowy";"Rodzaj budynku";"Stan prawny lokalu";"Stan prawny gruntu";"Źródło informacji";"Opis";"Konstrukcja budynku";"Cena brutto";"Cena brutto m2 p.u.";"Cena brutto z uwzględnieniem miejsca postojowego";"Cena brutto m2 p.u. z uwzględnieniem miejsca postojowego";"Nr KW";"Sąd wieczystoksięgowy";"Nr aktu notarialnego";"Źródło danych do wpisu";"Sprzedający";"Kupujący";"Pomieszczenia przynależne - ilość";"Pomieszczenie przynależne - opis";"Cena p. przynależnego zawarta w cenie transakcyjnej";"Pomieszczenia przynależne - Cena za sztukę";"Liczba miejsc postojowych";"Rodzaj miejsca postojowego";"Cena m. postojowego zawarta w cenie transakcyjnej";"M. postojowe - Cena za sztukę";"Pomieszczenia inne przynależne";"Pozostałe obiekty";"Funkcjonalność lokalu";"Standard lokalu";"Powierzchnia użytkowa budynku";"Standard techniczny budynku";"Modernizowany w ostatnich 5 latach";"Ekspozycja lokalu";"Winda";"Kod pocztowy";"Osiedle";"Strefa miasta";"Otoczenie";"Dostępność komunikacyjna";"Źródło ceny";"Cena (waluta)";"Waluta";"Kurs waluty z dn. transakcji";"Stan prawny budynku";"Dział III KW lokalu";"Dział III KW gruntu";"Wartość rynkowa";"Wartość odtworzeniowa";"Stawka VAT";"M. postojowe - Stawka VAT";"Data utworzenia";"Data modyfikacji";"Wpisana przez";"Modyfikowana przez";"Świadectwo charakterystyki energetycznej";"Nr św. ch. energetycznej";"Wskaźnik zapotrzebowania na energię pierwotną (EP)";"Wskaźnik zapotrzebowania na energię pierwotną (EK)";"Numer działki";"Pole powierzchni gruntu";"Udział"
"";"2017-03-03";"dolnośląskie";"Wrocław";"Wrocław-Stare Miasto (delegatura)";"Wrocław-Stare Miasto";"Stare Miasto";"Stare Miasto (01)";"30";"";"";"";"56.13";"347457.41";"6190.23";"";"";"";"";"2";"";"wielorodzinne";"Prawo własności";"(ww - współużytkowanie wieczyste)";"Umowa ostateczna sprzedaży rynek pierwotny";"Brak informacji czy cena netto/brutto, ceny unettowiono ;I piętro,2 pokoje w tym jeden pokój połączony z kuchnią i zprzedpokojem,łazienka;Obręb: 0001 - Stare Miasto, Ark.: 30, Nr dz.: 30/2,31;księga gruntowa: WR1K/00277237/2";"";"375254.00";"6685.44";"";"";"WR1K/00332887/7";"Sąd Rejonowy dla Wrocławia - Krzyków";"1062/2017";"RCiWN";"osoba prawna";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"Transakcja";"";"PLN";"";"Prawo własności";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"30/2,31";"6980";"4682/1000000
"
"";"2017-04-12";"dolnośląskie";"Wrocław";"Wrocław-Psie Pole (delegatura)";"Wrocław-Psie Pole";"Psie Pole";"Lipa Piotrowska (54)";"2";"ul. CZARNUSZKOWA ";"3 ";"4";"61.91";"251961.11";"4069.80";"";"";"";"";"3";"";"wielorodzinne";"Prawo własności";"(ws - współwłasność)";"Umowa ostateczna sprzedaży rynek pierwotny";"brutto;Lokal położony na Ip., składa się z 3 pokoi w tym jednego pokoju z aneksemkuchennym, łazienki i przedpokoju, pom. przynależne komórka o pow.6.63m2, prawodo wyłącznego korzystania z miejsca postojowego nr 1.;Obręb: 0054 - Lipa Piotrowska, Ark.: 2, Nr dz.: 23/4,23/1;księga gruntowa: WR1K/00329512/4";"";"272118.00";"4395.38";"";"";"WR1K/00357744/4";"Sąd Rejonowy dla Wrocławia - Krzyków";"2929/2017";"RCiWN";"osoba prawna";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"51-180";"";"";"";"";"Transakcja";"";"PLN";"";"Prawo własności";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"23/4,23/1";"13565";"63/10000
"
"";"2017-04-18";"dolnośląskie";"Wrocław";"Wrocław-Psie Pole (delegatura)";"Wrocław-Psie Pole";"Psie Pole";"Lipa Piotrowska (54)";"2";"ul. CZARNUSZKOWA ";"3 ";"9";"65.19";"264814.81";"4062.20";"";"";"";"";"4";"";"wielorodzinne";"Prawo własności";"(ws - współwłasność)";"Umowa ostateczna sprzedaży rynek pierwotny";"brutto;Lokal położony na IIp., składa się z 3 pokoi ,kuchni, łazienki i przedpokoju, pom.przynależne komórka o pow.4.60m2, prawo do wyłącznego korzystania z miejscapostojowego nr 44.;Obręb: 0054 - Lipa Piotrowska, Ark.: 2, Nr dz.: 23/4,23/1;księga gruntowa: WR1K/00329512/4";"";"286000.00";"4387.18";"";"";"WR1K/00357869/6";"Sąd Rejonowy dla Wrocławia - Krzyków";"3007/2017";"RCiWN";"osoba prawna";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"51-180";"";"";"";"";"Transakcja";"";"PLN";"";"Prawo własności";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"23/4,23/1";"13565";"6/10000
"
"";"2017-01-27";"dolnośląskie";"Wrocław";"Wrocław-Psie Pole (delegatura)";"Wrocław-Psie Pole";"Psie Pole";"Lipa Piotrowska (54)";"2";"ul. CZARNUSZKOWA ";"5 ";"3";"53.89";"227184.26";"4215.70";"";"";"";"";"3";"";"wielorodzinne";"Prawo własności";"(ws - współwłasność)";"Umowa ostateczna sprzedaży rynek pierwotny";"brutto;Lokal położony na parterze., składa się z 2 pokoi ,kuchni, łazienki i przedpokoju, pom.przynależne komórka o pow.4.24m2, prawo do wyłącznego korzystania z miejscapostojowego nr 5.;Obręb: 0054 - Lipa Piotrowska, Ark.: 2, Nr dz.: 23/4;23/1;księga gruntowa: WR1K/00329512/4";"";"245359.00";"4552.96";"";"";"WR1K/00355344/6";"Sąd Rejonowy dla Wrocławia - Krzyków";"963/2017";"RCiWN";"osoba prawna";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"51-180";"";"";"";"";"Transakcja";"";"PLN";"";"Prawo własności";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"23/4;23/1";"13565";"56/10000
"
"";"2017-01-05";"dolnośląskie";"Wrocław";"Wrocław-Psie Pole (delegatura)";"Wrocław-Psie Pole";"Psie Pole";"Lipa Piotrowska (54)";"2";"ul. CZARNUSZKOWA ";"7 ";"15";"35.28";"148521.30";"4209.79";"";"";"";"";"2";"";"wielorodzinne";"Prawo własności";"(ws - współwłasność)";"Umowa ostateczna sprzedaży rynek pierwotny";"brutto;Lokal położony na Ip., składa się z 1 pokoju ,kuchni, łazienki i przedpokoju, pom.postojowego nr 7;Obręb: 0054 - Lipa Piotrowska, Ark.: 2, Nr dz.: 23/4,23/1;księga gruntowa: WR1K/00329512/4";"";"160403.00";"4546.57";"";"";"WR1K/00354689/9";"Sąd Rejonowy dla Wrocławia - Krzyków";"182/2017";"RCiWN";"osoba prawna";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"51-180";"";"";"";"";"Transakcja";"";"PLN";"";"Prawo własności";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"23/4,23/1";"13565";"37/10000
"
"";"2017-02-20";"dolnośląskie";"Wrocław";"Wrocław-Psie Pole (delegatura)";"Wrocław-Psie Pole";"Psie Pole";"Lipa Piotrowska (54)";"2";"ul. CZARNUSZKOWA ";"7 ";"20";"47.12";"190303.70";"4038.70";"";"";"";"";"2";"";"wielorodzinne";"Prawo własności";"(ws - współwłasność)";"Umowa ostateczna sprzedaży rynek pierwotny";"brutto;Lokal położony na Ip., składa się z 2 pokoi w tym jednego pokoju z aneksemkuchennym, łazienki i przedpokoju, pom. przynależne komórka o pow.2.71 m2, prawodo wyłącznego korzystania z miejsca postojowego nr 36.;Obręb: 0054 - Lipa Piotrowska, Ark.: 2, Nr dz.: 23/4,23/1;księga gruntowa: WR1K/00329512/4";"";"205528.00";"4361.80";"";"";"WR1K/00356120/7";"Sąd Rejonowy dla Wrocławia - Krzyków";"1734/2017";"RCiWN";"osoba prawna";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"51-180";"";"";"";"";"Transakcja";"";"PLN";"";"Prawo własności";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"23/4,23/1";"13565";"48/10000
"
"";"2017-03-24";"dolnośląskie";"Wrocław";"Wrocław-Fabryczna (delegatura)";"Wrocław-Fabryczna";"Fabryczna";"Marszowice (34)";"19";"ul. JÓZEFA WĄSOWICZA ";"1 ";"9";"41.77";"185185.19";"4433.45";"";"";"";"";"1";"";"wielorodzinne";"Prawo własności";"(ws - współwłasność)";"Umowa ostateczna sprzedaży rynek pierwotny";"brutto, cena za udział w innych dz. - osobno;3 piętro, pokój z aneksem kuchennym połączony z korytarzem, łazienka;Obręb: 0034 - Marszowice, Ark.: 19, Nr dz.: 2/348;księga gruntowa: WR1K/00286351/3";"";"200000.00";"4788.13";"";"";"WR1K/00357259/7";"Sąd Rejonowy dla Wrocławia - Krzyków";"2850/2017";"RCiWN";"osoba prawna";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"54-704";"";"";"";"";"Transakcja";"";"PLN";"";"Prawo własności";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"2/348";"1143";"2133/100000
"
"";"2017-03-20";"dolnośląskie";"Wrocław";"Wrocław-Fabryczna (delegatura)";"Wrocław-Fabryczna";"Fabryczna";"Marszowice (34)";"19";"ul. JÓZEFA WĄSOWICZA ";"5 ";"8";"37.47";"161111.11";"4299.74";"";"";"";"";"1";"";"wielorodzinne";"Prawo własności";"(ws - współwłasność)";"Umowa ostateczna sprzedaży rynek pierwotny";"brutto, cena za udział w dz.2/347 - osobno;3 piętro, pokój z aneksem kuchennym połączony korytarzem i łazienka;Obręb: 0034 - Marszowice, Ark.: 19, Nr dz.: 2/348";"";"174000.00";"4643.71";"";"";"WR1K/00286351/3";"Sąd Rejonowy dla Wrocławia - Krzyków";"2559/2017";"RCiWN";"osoba prawna";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"54-704";"";"";"";"";"Transakcja";"";"PLN";"";"Prawo własności";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"2/348";"1143";"1/300
"
"";"2017-02-28";"dolnośląskie";"Wrocław";"Wrocław-Psie Pole (delegatura)";"Wrocław-Psie Pole";"Psie Pole";"Lipa Piotrowska (54)";"2";"ul. WANILIOWA ";"54 ";"24";"49.64";"202002.78";"4069.35";"";"";"";"";"3";"";"wielorodzinne";"Prawo własności";"(ws - współwłasność)";"Umowa ostateczna sprzedaży rynek pierwotny";"brutto;Lokal położony na IIIp., składa się z 2 pokoi ,kuchni, łazienki i przedpokoju, pom.przynależne komórka o pow.3.70m2, prawo do wyłącznego korzystania z miejscapostojowego nr 2.;Obręb: 0054 - Lipa Piotrowska, Ark.: 2, Nr dz.: 23/4,23/1;księga gruntowa: WR1K/00329512/4";"";"218163.00";"4394.90";"";"";"WR1K/00356441/3";"Sąd Rejonowy dla Wrocławia - Krzyków";"1969/2017";"RCiWN";"osoba prawna";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"51-180";"";"";"";"";"Transakcja";"";"PLN";"";"Prawo własności";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"23/4,23/1";"13565";"52/10000
"
"";"2017-08-16";"dolnośląskie";"Wrocław";"Wrocław-Krzyki (delegatura)";"Wrocław-Krzyki";"Krzyki";"Ołtaszyn (19)";"7";"ul. ADM. JÓZEFA UNRUGA ";"44 ";"1";"80.24";"595370.37";"7419.87";"";"";"";"";"4";"";"wielorodzinne";"Prawo własności";"(ws - współwłasność)";"Umowa ostateczna sprzedaży rynek pierwotny";"Brak informacji czy cena netto/brutto, ceny unettowiono ;I kondygnacja (parter), 2 pokoje, pokój połączony z korytarzem, kuchnia, łazienka,pomieszczenie techniczne, wiatrołap o łącznej pow. użytk. 80.24 m2;Obręb: 0019 - Ołtaszyn, Ark.: 7, Nr dz.: 397/4;księga gruntowa: WR1K/00114838/5";"";"643000.00";"8013.46";"";"";"WR1K/00319370/3";"Sąd Rejonowy dla Wrocławia - Krzyków";"2314/2017";"RCiWN";"osoba prawna";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"52-212";"";"";"";"";"Transakcja";"";"PLN";"";"Prawo własności";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"397/4";"12511";"203/10000
"
