1. Wrocław, (wolny rynek)

2. Wrocław, 8 5 m.6 (wolny rynek)

3. Wrocław, 8 MAJA 62 m.2 (wolny rynek)

4. Wrocław, ADAMA MICKIEWICZA 71 m.4 (wolny rynek)

5. Wrocław, ADAMA UZNANSKIEGO 2 m.34 (wolny rynek)

6. Wrocław, ADM. JÓZEFA UNRUGA 40 m.2 (wolny rynek)

7. Wrocław, ADM. JÓZEFA UNRUGA 58 m.2 (wolny rynek)

8. Wrocław, AGRESTOWA 131ca m.1 (wolny rynek)

9. Wrocław, AGRESTOWA 131fb m.2 (wolny rynek)

10. Wrocław, AGRESTOWA 131fc m.2 (wolny rynek)

11. Wrocław, AGRESTOWA 137 m.6 (wolny rynek)

12. Wrocław, AL. ARMII KRAJOWEJ 2 m.24 (wolny rynek)

13. Wrocław, AL. GEN. JÓZEFA HALLERA 115 m.4 (wolny rynek)

14. Wrocław, AL. GEN. JÓZEFA HALLERA 115 m.9 (wolny rynek)

15. Wrocław, AL. GEN. JÓZEFA HALLERA 144 m.8 (wolny rynek)

16. Wrocław, AL. GEN. JÓZEFA HALLERA 188 m.38 (wolny rynek)

17. Wrocław, AL. GEN. JÓZEFA HALLERA 18b m.4 (wolny rynek)

18. Wrocław, AL. GEN. JÓZEFA HALLERA 192 m.4 (wolny rynek)

19. Wrocław, AL. GEN. JÓZEFA HALLERA 22 m.14 (wolny rynek)

20. Wrocław, AL. GEN. JÓZEFA HALLERA 23 m.9 (wolny rynek)

21. Wrocław, AL. GEN. JÓZEFA HALLERA 30 m.6 (wolny rynek)

22. Wrocław, AL. GEN. JÓZEFA HALLERA 4 m.1 (wolny rynek)

23. Wrocław, AL. GEN. JÓZEFA HALLERA 51 m.17 (wolny rynek)

24. Wrocław, AL. GEN. JÓZEFA HALLERA 96 m.23 (wolny rynek)

25. Wrocław, AL. JANA KASPROWICZA 2 m.14 (wolny rynek)

26. Wrocław, AL. JANA KOCHANOWSKIEGO 39 m.2 (wolny rynek)

27. Wrocław, AL. JANA KOCHANOWSKIEGO 78 m.2 (wolny rynek)

28. Wrocław, AL. JANA MATEJKI 14 m.18 (wolny rynek)

29. Wrocław, AL. JANA MATEJKI 17 m.3 (wolny rynek)

30. Wrocław, AL. JANA MATEJKI 19 m.9 (wolny rynek)

31. Wrocław, AL. JARZĘBINOWA 11 m.32 (wolny rynek)

32. Wrocław, AL. JARZĘBINOWA 15 m.8 (wolny rynek)

33. Wrocław, AL. JARZĘBINOWA 4 m.40 (wolny rynek)

34. Wrocław, AL. LIPOWA 6 m.9 (wolny rynek)

35. Wrocław, AL. LUDOMIRA RÓŻYCKIEGO 11 m.2 (wolny rynek)

36. Wrocław, AL. MARCINA KROMERA 27 m.50 (wolny rynek)

37. Wrocław, AL. MARCINA KROMERA 57 m.9 (wolny rynek)

38. Wrocław, AL. MARCINA KROMERA 65 m.39 (wolny rynek)

39. Wrocław, AL. TADEUSZA BOYA-ŻELENSKIEGO 69 m.3 (wolny rynek)

40. Wrocław, ALEJA PIASTÓW 58 m.1 (wolny rynek)

41. Wrocław, ALEJA GEN. JÓZEFA HALLERA 86 m.9 (wolny rynek)

42. Wrocław, ALEJA GEN. JÓZEFA HALLERA 90 m.2 (wolny rynek)

43. Wrocław, ALEJA PIASTÓW 2a m.6 (wolny rynek)

44. Wrocław, ALEJA PIASTÓW 45 m.2 (wolny rynek)

45. Wrocław, ALEJA PIASTÓW 4a m.2 (wolny rynek)

46. Wrocław, ALEJA PIASTÓW 4b m.17 (wolny rynek)

47. Wrocław, ALEJA PIASTÓW 4c m.17 (wolny rynek)

48. Wrocław, ALEJA PIASTÓW 4c m.3 (wolny rynek)

49. Wrocław, ALEJA PIASTÓW 57 m.2 (wolny rynek)

50. Wrocław, ALEJA PIASTÓW 58 m.2 (wolny rynek)

51. Wrocław, ALEKSANDRA GODLEWSKIEGO 13 m.2 (wolny rynek)

52. Wrocław, ALEKSANDRA GODLEWSKIEGO 7 m.21 (wolny rynek)

53. Wrocław, ALEKSANDRA KOTSISA 38 m.5 (wolny rynek)

54. Wrocław, ALOJZEGO MAJCHRA 9a m.10 (wolny rynek)

55. Wrocław, ALPEJSKA 1 m.1 (wolny rynek)

56. Wrocław, ANDRZEJA CINCIAŁY 7 m.1 (wolny rynek)

57. Wrocław, ANDRZEJA POTEBNI 40 m.2 (wolny rynek)

58. Wrocław, ANTONIA VIVALDIEGO 88 m.7 (wolny rynek)

59. Wrocław, ANTONIEGO SŁONIMSKIEGO 3a m.30 (wolny rynek)

60. Wrocław, ANTONIEGO WIWULSKIEGO 23 m.9 (wolny rynek)

61. Wrocław, ANTONIEGO WIWULSKIEGO 41 m.14 (wolny rynek)

62. Wrocław, ARACHIDOWA % m.- (wolny rynek)

63. Wrocław, ARBUZOWA 11 m.7 (wolny rynek)

64. Wrocław, ARBUZOWA 11a m.8 (wolny rynek)

65. Wrocław, ARTURA MŁODNICKIEGO 48 m.8 (wolny rynek)

66. Wrocław, BABIEGO LATA 9 m.1H (wolny rynek)

67. Wrocław, BALONOWA 17 m.21 (wolny rynek)

68. Wrocław, BALONOWA 39 m.29 (wolny rynek)

69. Wrocław, BALONOWA 41 m.17 (wolny rynek)

70. Wrocław, BARTOSZA GŁOWACKIEGO 20 m.2 (wolny rynek)

71. Wrocław, BARTOSZA GŁOWACKIEGO 20 m.2 (wolny rynek)

72. Wrocław, BARYCKA 4 m.8 (wolny rynek)

73. Wrocław, BENEDYKTA POLAKA 16 (wolny rynek)

74. Wrocław, BENEDYKTA POLAKA 18 m.7 (wolny rynek)

75. Wrocław, BENGALSKA 10 m.2 (wolny rynek)

76. Wrocław, BERNARDA BELOTTA CANALETTA 2 m.44 (wolny rynek)

77. Wrocław, BEZPIECZNA 22 m.12 (wolny rynek)

78. Wrocław, BEZPIECZNA 22 m.2 (wolny rynek)

79. Wrocław, BEZPIECZNA 32a m.3 (wolny rynek)

80. Wrocław, BEZPIECZNA 51 m.8 (wolny rynek)

81. Wrocław, BIAŁOWIESKA 20A m.4 (wolny rynek)

82. Wrocław, BIAŁOWIESKA 54 m.5 (wolny rynek)

83. Wrocław, BIAŁOWIESKA 54 m.5 (wolny rynek)

84. Wrocław, BIERZYCKA 22 m.- (wolny rynek)

85. Wrocław, BIRMANSKA 4 m.10 (wolny rynek)

86. Wrocław, BIRMANSKA 4 m.11 (wolny rynek)

87. Wrocław, BISKUPIA 8 m.11 (wolny rynek)

88. Wrocław, BLACHARSKA 8i m.2 (wolny rynek)

89. Wrocław, BOCZNA 15 m.10 (wolny rynek)

90. Wrocław, BOHDANA ZALESKIEGO 11 m.2 (wolny rynek)

91. Wrocław, BOLESŁAWA CHROBREGO 18 m.2 (wolny rynek)

92. Wrocław, BOLESŁAWA CHROBREGO 34 m.13 (wolny rynek)

93. Wrocław, BOLESŁAWA CHROBREGO 34 m.2 (wolny rynek)

94. Wrocław, BOLESŁAWA DROBNERA 10 m.7A (wolny rynek)

95. Wrocław, BOLESŁAWA DROBNERA 10 m.7B (wolny rynek)

96. Wrocław, BOLESŁAWA KRZYWOUSTEGO 27 m.9 (wolny rynek)

97. Wrocław, BOLESŁAWA KRZYWOUSTEGO 314-316 m.10 (wolny rynek)

98. Wrocław, BOLESŁAWA KRZYWOUSTEGO 35 m.2 (wolny rynek)

99. Wrocław, BOLESŁAWA KRZYWOUSTEGO 39 m.3 (wolny rynek)

100. Wrocław, BOLESŁAWA KRZYWOUSTEGO 55 m.1 (wolny rynek)

101. Wrocław, BOLESŁAWA KRZYWOUSTEGO 67 m.6 (wolny rynek)

102. Wrocław, BOLESŁAWA PRUSA 17 m.3 (wolny rynek)

103. Wrocław, BOLESŁAWA PRUSA 24 m.1 (wolny rynek)

104. Wrocław, BOLESŁAWA PRUSA 5a m.4 (wolny rynek)

105. Wrocław, BOLESŁAWA PRUSA 71 m.1 (wolny rynek)

106. Wrocław, BOROWSKA 184 m.3 (wolny rynek)

107. Wrocław, BOROWSKA 199 m.1 (wolny rynek)

108. Wrocław, BOROWSKA 204 m.4 (wolny rynek)

109. Wrocław, BOROWSKA 212 m.3 (wolny rynek)

110. Wrocław, BOROWSKA 242a m.11 (wolny rynek)

111. Wrocław, BOROWSKA 270a m.7 (wolny rynek)

112. Wrocław, BOROWSKA 270a m.8 (wolny rynek)

113. Wrocław, BOROWSKA 28 m.8 (wolny rynek)

114. Wrocław, BRANIBORSKA 27 m.10 (wolny rynek)

115. Wrocław, BRANIBORSKA 3 m.8 (wolny rynek)

116. Wrocław, BRATERSKA 14 m.6 (wolny rynek)

117. Wrocław, BRATERSKA 16 m.1 (wolny rynek)

118. Wrocław, BRATERSKA 16 m.2 (wolny rynek)

119. Wrocław, BRATERSKA 16 m.3 (wolny rynek)

120. Wrocław, BRODZKA 171 m.4 (wolny rynek)

121. Wrocław, BRODZKA 171 m.6 (wolny rynek)

122. Wrocław, BRYLANTOWA 28 m.2 (wolny rynek)

123. Wrocław, BRZESKA 1 m.9 (wolny rynek)

124. Wrocław, BUCZACKA 6c m.12 (wolny rynek)

125. Wrocław, BUCZACKA 6c m.16 (wolny rynek)

126. Wrocław, BUCZACKA Gd m.11 (wolny rynek)

127. Wrocław, BUDZISZYNSKA 13 m.4 (wolny rynek)

128. Wrocław, BUDZISZYNSKA 25a m.19 (wolny rynek)

129. Wrocław, BUDZISZYNSKA 25a m.31 (wolny rynek)

130. Wrocław, BUDZISZYNSKA 27 m.40 (wolny rynek)

131. Wrocław, BUDZISZYNSKA 37 m.10 (wolny rynek)

132. Wrocław, BUDZISZYNSKA 5 m.3 (wolny rynek)

133. Wrocław, BUFOROWA 117 m.2 (wolny rynek)

134. Wrocław, BUFOROWA 12 m.14 (wolny rynek)

135. Wrocław, BUFOROWA 18a m.15 (wolny rynek)

136. Wrocław, BULWAR IKARA 10 m.7 (wolny rynek)

137. Wrocław, BULWAR IKARA 29 m.9 (wolny rynek)

138. Wrocław, BULWAR IKARA 31 m.10 (wolny rynek)

139. Wrocław, BYSTRZYCKA 99 m.1 (wolny rynek)

140. Wrocław, CHEMICZNA 3 m.1a (wolny rynek)

141. Wrocław, CIEPŁA 16 m.1 (wolny rynek)

142. Wrocław, CIEPŁA 16 m.11 (wolny rynek)

143. Wrocław, CUKROWA 1h,1d m.18 (wolny rynek)

144. Wrocław, CUKROWA 20 m.6 (wolny rynek)

145. Wrocław, CUKROWA 22 m.1 (wolny rynek)

146. Wrocław, CUKROWA 22a m.13 (wolny rynek)

147. Wrocław, CYNAMONOWA 12c m.5 (wolny rynek)

148. Wrocław, CYNAMONOWA 15 m.19 (wolny rynek)

149. Wrocław, CYNOWA 3 m.12 (wolny rynek)

150. Wrocław, CYPRIANA KAMILA NORWIDA 13 (wolny rynek)

151. Wrocław, CYPRIANA KAMILA NORWIDA 24 m.1 (wolny rynek)

152. Wrocław, CZARNUSZKOWA 1 m.2 (wolny rynek)

153. Wrocław, CZECHOWICKA 4 m.1 (wolny rynek)

154. Wrocław, cZERNIAWSKA 4a m.8 (wolny rynek)

155. Wrocław, CZESKA 36 m.1 (wolny rynek)

156. Wrocław, CZYSTA 2 m.3C (wolny rynek)

157. Wrocław, CZYSTA 2 m.4M (wolny rynek)

158. Wrocław, CZYSTA 2 m.GB (wolny rynek)

159. Wrocław, CZYTANKOWA 6 m.1 (wolny rynek)

160. Wrocław, DAWIDA 17 m.9 (wolny rynek)

161. Wrocław, DESZCZOWA 16a m.11 (wolny rynek)

162. Wrocław, DESZCZOWA 18 m.20 (wolny rynek)

163. Wrocław, DESZCZOWA 20 m.5 (wolny rynek)

164. Wrocław, DŁUGA 16c m.154 (wolny rynek)

165. Wrocław, DŁUGA 56 m.7 (wolny rynek)

166. Wrocław, DŁUGOPOLSKA 37 m.6 (wolny rynek)

167. Wrocław, DOKERSKA 15 m.21 (wolny rynek)

168. Wrocław, DOKERSKA 16 m.20 (wolny rynek)

169. Wrocław, DOKERSKA 25 m.6 (wolny rynek)

170. Wrocław, DOKERSKA 29 m.27 (wolny rynek)

171. Wrocław, DOKERSKA 3 m.21 (wolny rynek)

172. Wrocław, DOKERSKA 30 m.30 (wolny rynek)

173. Wrocław, DOKERSKA 32 m.2 (wolny rynek)

174. Wrocław, DOKERSKA 33 m.3 (wolny rynek)

175. Wrocław, DOKERSKA 34 m.11 (wolny rynek)

176. Wrocław, DOKERSKA 8 m.14 (wolny rynek)

177. Wrocław, DOLNOBRZESKA 46c m.14 (wolny rynek)

178. Wrocław, DOLNOBRZESKA 46e m.4 (wolny rynek)

179. Wrocław, DOLNOBRZESKA 46i m.10 (wolny rynek)

180. Wrocław, DRUKARSKA 2 m.6 (wolny rynek)

181. Wrocław, DRUKARSKA 26 m.2 (wolny rynek)

182. Wrocław, DRUKARSKA 45 m.32 (wolny rynek)

183. Wrocław, DRUKARSKA 45 m.72 (wolny rynek)

184. Wrocław, DRUKARSKA 6 m.19 (wolny rynek)

185. Wrocław, DZIAŁKOWA 42 m.3 (wolny rynek)

186. Wrocław, DZIAŁKOWA 44 m.10 (wolny rynek)

187. Wrocław, DZIAŁKOWA 62 m.4 (wolny rynek)

188. Wrocław, DZIELNA 29 m.27 (wolny rynek)

189. Wrocław, DZIELNA 43 m.7 (wolny rynek)

190. Wrocław, DZIERŻONIOWSKA 25 m.2 (wolny rynek)

191. Wrocław, EDWARDA ABRAMOWSKIEGO 1 m.8 (wolny rynek)

192. Wrocław, EDWARDA DEMBOWSKIEGO 116 (wolny rynek)

193. Wrocław, EDWARDA DEMBOWSKIEGO 12 m.5 (wolny rynek)

194. Wrocław, EDWARDA DEMBOWSKIEGO 21 m.1 (wolny rynek)

195. Wrocław, EDWARDA DEMBOWSKIEGO 58 m.4 (wolny rynek)

196. Wrocław, EDWARDA SUCHARDY 3 m.9 (wolny rynek)

197. Wrocław, ELIZY ORZESZKOWEJ 33 m.11 (wolny rynek)

198. Wrocław, ELIZY ORZESZKOWEJ 36 m.12 (wolny rynek)

199. Wrocław, ELIZY ORZESZKOWEJ 46 m.15 (wolny rynek)

200. Wrocław, ELIZY ORZESZKOWEJ 78 m.3 (wolny rynek)

201. Wrocław, EMILA ZEGADŁOWICZA 36 m.U1A (wolny rynek)

202. Wrocław, EMILA ZOLI 4 m.6 (wolny rynek)

203. Wrocław, ENERGETYCZNA 7 m.1 (wolny rynek)

204. Wrocław, ENERGETYCZNA 7 m.16 (wolny rynek)

205. Wrocław, ESTONSKA 40a m.1 (wolny rynek)

206. Wrocław, EUGENIUSZA HORBACZEWSKIEGO 15 m.21 (wolny rynek)

207. Wrocław, EUGENIUSZA HORBACZEWSKIEGO 17 m.13 (wolny rynek)

208. Wrocław, FERDYNANDA MAGELLANA 13 m.6 (wolny rynek)

209. Wrocław, FERDYNANDA MAGELLANA 13 m.7 (wolny rynek)

210. Wrocław, FERDYNANDA MAGELLANA 15 m.9 (wolny rynek)

211. Wrocław, FERDYNANDA MAGELLANA 23 m.8 (wolny rynek)

212. Wrocław, FERDYNANDA MAGELLANA 25 m.19 (wolny rynek)

213. Wrocław, FERDYNANDA MAGELLANA 29 m.22 (wolny rynek)

214. Wrocław, FERDYNANDA MAGELLANA 3 m.33 (wolny rynek)

215. Wrocław, FERDYNANDA MAGELLANA 41 m.15 (wolny rynek)

216. Wrocław, FRANKLINA DELANO ROOSEVELTA 25 m.12 (wolny rynek)

217. Wrocław, FRANKLINA DELANO ROOSEVELTA 30 m.16 (wolny rynek)

218. Wrocław, FRANKLINA DELANO ROOSEVELTA 5 m.16 (wolny rynek)

219. Wrocław, GAJOWA 20 m.4 (wolny rynek)

220. Wrocław, GAJOWA 30 m.10 (wolny rynek)

221. Wrocław, GAJOWA 40 m.4a (wolny rynek)

222. Wrocław, GAJOWA 47a m.13 (wolny rynek)

223. Wrocław, GAJOWA 56 m.11 (wolny rynek)

224. Wrocław, GAJOWA 62 m.6 (wolny rynek)

225. Wrocław, GAJOWICKA 113 m.12 (wolny rynek)

226. Wrocław, GAJOWICKA 149 m.6 (wolny rynek)

227. Wrocław, GAJOWICKA 156 m.9 (wolny rynek)

228. Wrocław, GAJOWICKA 159 m.? (wolny rynek)

229. Wrocław, GAJOWICKA 159 m.? (wolny rynek)

230. Wrocław, GAJOWICKA 72 m.58 (wolny rynek)

231. Wrocław, GAJOWICKA 76 m.55 (wolny rynek)

232. Wrocław, GAJOWICKA 76 m.62 (wolny rynek)

233. Wrocław, GAJOWICKA 78 m.47 (wolny rynek)

234. Wrocław, GAJOWICKA 86 m.24 (wolny rynek)

235. Wrocław, GAJOWICKA 86 m.24 (wolny rynek)

236. Wrocław, GĄDOWSKA 2J m.- (wolny rynek)

237. Wrocław, GEN. IGNACEGO PRĄDZYNSKIEGO 11 m.11 (wolny rynek)

238. Wrocław, GEN. IGNACEGO PRĄDZYNSKIEGO 13 m.2 (wolny rynek)

239. Wrocław, GEN. IGNACEGO PRĄDZYNSKIEGO 13 m.2 (wolny rynek)

240. Wrocław, GEN. IGNACEGO PRĄDZYNSKIEGO 14-16 m.9 (wolny rynek)

241. Wrocław, GEN. IGNACEGO PRĄDZYNSKIEGO 32 m.10 (wolny rynek)

242. Wrocław, GEN. IGNACEGO PRĄDZYNSKIEGO 42 m.2 (wolny rynek)

243. Wrocław, GEN. IGNACEGO PRĄDZYNSKIEGO 46 m.12 (wolny rynek)

244. Wrocław, GEN. IGNACEGO PRĄDZYNSKIEGO 51 m.22 (wolny rynek)

245. Wrocław, GEN. JANA HENRYKA DĄBROWSKIEGO 21 m.1a (wolny rynek)

246. Wrocław, GEN. JÓZEFA HAUKEGO-BOSAKA 31 m.6 (wolny rynek)

247. Wrocław, GEN. JÓZEFA SOWINSKIEGO 21 m.3 (wolny rynek)

248. Wrocław, GEN. JÓZEFA SOWINSKIEGO 3 m.3 (wolny rynek)

249. Wrocław, GEN. KAROLA KNIAZIEWICZA 13 m.14 (wolny rynek)

250. Wrocław, GEN. KAROLA KNIAZIEWICZA 20 m.3 (wolny rynek)

251. Wrocław, GEN. KAROLA KNIAZIEWICZA 32-34 m.52 (wolny rynek)

252. Wrocław, GEN. KAZIMIERZA PUŁASKIEGO 28 m.11 (wolny rynek)

253. Wrocław, GEN. LUDWIKA MIEROSŁAWSKIEGO 4 m.1 (wolny rynek)

254. Wrocław, GEN. ROMUALDA TRAUGUTTA 106 m.4 (wolny rynek)

255. Wrocław, GEN. ROMUALDA TRAUGUTTA 106 m.5 (wolny rynek)

256. Wrocław, GEN. ROMUALDA TRAUGUTTA 125 m.27 (wolny rynek)

257. Wrocław, GEN. ROMUALDA TRAUGUTTA 125 m.3 (wolny rynek)

258. Wrocław, GEN. ROMUALDA TRAUGUTTA 129 m.2 (wolny rynek)

259. Wrocław, GEN. ROMUALDA TRAUGUTTA 144 m.25 (wolny rynek)

260. Wrocław, GEN. ROMUALDA TRAUGUTTA 62 m.7 (wolny rynek)

261. Wrocław, GEN. WŁADYSŁAWA SIKORSKIEGO 7f m.19 (wolny rynek)

262. Wrocław, GEN. WŁADYSŁAWA SIKORSKIEGO 9 m.7 (wolny rynek)

263. Wrocław, GITAROWA 1 m.7 (wolny rynek)

264. Wrocław, GITAROWA 10 m.6 (wolny rynek)

265. Wrocław, GITAROWA 15 m.5 (wolny rynek)

266. Wrocław, GITAROWA 15 m.7 (wolny rynek)

267. Wrocław, GITAROWA 17 m.6 (wolny rynek)

268. Wrocław, GITAROWA 4 m.4 (wolny rynek)

269. Wrocław, GITAROWA 5 m.5 (wolny rynek)

270. Wrocław, GIŻYCKA 1 m.19 (wolny rynek)

