"Id";"Data transakcji / wyceny";"Województwo";"Powiat";"Gmina";"Miejscowość";"Dzielnica";"Obręb geodezyjny";"Arkusz mapy";"Ulica";"Nr domu";"Nr lokalu";"Powierzchnia użytkowa (m2)";"Cena";"Cena m2 p.u.";"Cena z uwzględnieniem miejsca postojowego";"Cena m2 p.u. z uwzględnieniem miejsca postojowego";"Kondygnacja lokalu";"Liczba kondygnacji";"Liczba izb";"Rok budowy";"Rodzaj budynku";"Stan prawny lokalu";"Stan prawny gruntu";"Źródło informacji";"Opis";"Konstrukcja budynku";"Cena brutto";"Cena brutto m2 p.u.";"Cena brutto z uwzględnieniem miejsca postojowego";"Cena brutto m2 p.u. z uwzględnieniem miejsca postojowego";"Nr KW";"Sąd wieczystoksięgowy";"Nr aktu notarialnego";"Źródło danych do wpisu";"Sprzedający";"Kupujący";"Pomieszczenia przynależne - ilość";"Pomieszczenie przynależne - opis";"Cena p. przynależnego zawarta w cenie transakcyjnej";"Pomieszczenia przynależne - Cena za sztukę";"Liczba miejsc postojowych";"Rodzaj miejsca postojowego";"Cena m. postojowego zawarta w cenie transakcyjnej";"M. postojowe - Cena za sztukę";"Pomieszczenia inne przynależne";"Pozostałe obiekty";"Funkcjonalność lokalu";"Standard lokalu";"Powierzchnia użytkowa budynku";"Standard techniczny budynku";"Modernizowany w ostatnich 5 latach";"Ekspozycja lokalu";"Winda";"Kod pocztowy";"Osiedle";"Strefa miasta";"Otoczenie";"Dostępność komunikacyjna";"Źródło ceny";"Cena (waluta)";"Waluta";"Kurs waluty z dn. transakcji";"Stan prawny budynku";"Dział III KW lokalu";"Dział III KW gruntu";"Wartość rynkowa";"Wartość odtworzeniowa";"Stawka VAT";"M. postojowe - Stawka VAT";"Data utworzenia";"Data modyfikacji";"Wpisana przez";"Modyfikowana przez";"Świadectwo charakterystyki energetycznej";"Nr św. ch. energetycznej";"Wskaźnik zapotrzebowania na energię pierwotną (EP)";"Wskaźnik zapotrzebowania na energię pierwotną (EK)";"Numer działki";"Pole powierzchni gruntu";"Udział"
"";"2017-02-10";"dolnośląskie";"Wrocław";"Wrocław-Psie Pole (delegatura)";"Wrocław-Psie Pole";"Psie Pole";"Swojczyce (64)";"25";"";"";"";"37.97";"249000.00";"6557.81";"";"";"";"";"2";"";"wielorodzinne";"Prawo własności";"(ww - współużytkowanie wieczyste)";"Umowa ostateczna sprzedaży rynek wtórny";"parter, pokój,pokój z aneksem kuchennym połączony z przedpokojem,łazienka;Obręb: 0064 - Swojczyce, Ark.: 25, Nr dz.: 24/49,24/51,24/53,24/55,24/74,25/11;księga gruntowa: WR1K/00094142/2";"";"249000.00";"6557.81";"";"";"WR1K/00";"Sąd Rejonowy dla Wrocławia - Krzyków";"439/2017";"RCiWN";"osoba fizyczna";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"Transakcja";"";"PLN";"";"Prawo własności";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"24/49,24/51,24/53,24/55,24/74,25/11";"9550";"5879/1000000
"
"";"2017-07-03";"dolnośląskie";"Wrocław";"Wrocław-Fabryczna (delegatura)";"Wrocław-Fabryczna";"Fabryczna";"Oporów (40)";"3";"ul.  ";"8 5 ";"6";"126.7";"690000.00";"5445.94";"";"";"";"";"5";"";"wielorodzinne";"Prawo własności";"(ws - współwłasność)";"Umowa ostateczna sprzedaży rynek wtórny";"cena lokalu niemieszkalnego oddzielnie;III kondygnacja, 4 pokoje, pokój z aneksem kuchennym, garderoba, korytarz, łazienkaoraz WC;Obręb: 0040 - Oporów, Ark.: 3, Nr dz.: 18/2,23/3;księga gruntowa: WR1K/00148218/0";"";"690000.00";"5445.94";"";"";"WR1K/00256695/7";"Sąd Rejonowy dla Wrocławia - Krzyków";"71023/2017";"RCiWN";"osoba fizyczna";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"50-029";"";"";"";"";"Transakcja";"";"PLN";"";"Prawo własności";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"18/2,23/3";"2888";"3170/100000
"
"";"2017-09-20";"dolnośląskie";"Wrocław";"Wrocław-Śródmieście (delegatura)";"Wrocław-Śródmieście";"Śródmieście";"Sępolno (06)";"2";"ul.  ";"8 MAJA 62 ";"2";"72.62";"421001.00";"5797.31";"";"";"";"";"5";"";"wielorodzinne";"Prawo własności";"(ws - współwłasność)";"Umowa ostateczna sprzedaży rynek wtórny";"parter, 4 pokoje,kuchnia,łazienka,przedpokój;Obręb: 0006 - Sępolno, Ark.: 2, Nr dz.: 66/26;księga gruntowa: WR1K/00059702/9";"";"421001.00";"5797.31";"";"";"WR1K/00084900/1";"Sąd Rejonowy dla Wrocławia - Krzyków";"2305/2017";"RCiWN";"osoba fizyczna";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"50-029";"";"";"";"";"Transakcja";"";"PLN";"";"Prawo własności";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"66/26";"173";"1990/10000
"
"";"2017-06-29";"dolnośląskie";"Wrocław";"Wrocław-Śródmieście (delegatura)";"Wrocław-Śródmieście";"Śródmieście";"Sępolno (06)";"3";"ul. ADAMA MICKIEWICZA ";"71 ";"4";"69.64";"390000.00";"5600.23";"";"";"";"";"4";"";"wielorodzinne";"Prawo własności";"(ws - współwłasność)";"Umowa ostateczna sprzedaży rynek wtórny";"1 piętro, 3 pokoje,kuchnia,wc.przedpokój;Obręb: 0006 - Sępolno, Ark.: 3, Nr dz.: 25/9;księga gruntowa: ";"";"390000.00";"5600.23";"";"";"WR1K/00127403/1WR1K/00132678/7";"Sąd Rejonowy dla Wrocławia - Krzyków";"8859/2017";"RCiWN";"osoba fizyczna";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"51-685";"";"";"";"";"Transakcja";"";"PLN";"";"Prawo własności";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"25/9";"147";"3154/10000
"
"";"2017-05-18";"dolnośląskie";"Wrocław";"Wrocław-Krzyki (delegatura)";"Wrocław-Krzyki";"Krzyki";"Gaj (13)";"15";"ul. ADAMA UZNANSKIEGO ";"2 ";"34";"50.19";"345000.00";"6873.88";"";"";"";"";"3";"";"";"Prawo własności";"(ws - współwłasność)";"Umowa ostateczna sprzedaży rynek wtórny";"2 piętro, 2 pokoje, kuchnia, łazienka, przedpokój;Obręb: 0013 - Gaj, Ark.: 15, Nr dz.: 149/13;księga gruntowa: WR1K/00176399/7";"";"345000.00";"6873.88";"";"";"WR1K/00207708/4";"Sąd Rejonowy dla Wrocławia - Krzyków";"3055/2017";"RCiWN";"osoba fizyczna";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"50-570";"";"";"";"";"Transakcja";"";"PLN";"";"Prawo własności";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"149/13";"5559";"68/10000
"
"";"2017-05-25";"dolnośląskie";"Wrocław";"Wrocław-Krzyki (delegatura)";"Wrocław-Krzyki";"Krzyki";"Ołtaszyn (19)";"7";"ul. ADM. JÓZEFA UNRUGA ";"40 ";"2";"120.11";"580000.00";"4828.91";"";"";"";"";"4";"";"wielorodzinne";"Prawo własności";"(ws - współwłasność)";"Umowa ostateczna sprzedaży rynek wtórny";"II kondygnacja, 3 pokoje, pokój połączony z kuchnią z korytarzem, 2 łazienki, korytarzna poddaszu oraz klatka schodowa na parterze o pow. użytk. 120.11 m2;Obręb: 0019 - Ołtaszyn, Ark.: 7, Nr dz.: 397/4;księga gruntowa: WR1K/00114838/5";"";"580000.00";"4828.91";"";"";"WR1K/00326598/9";"Sąd Rejonowy dla Wrocławia - Krzyków";"2358/2017";"RCiWN";"osoba fizyczna";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"52-212";"";"";"";"";"Transakcja";"";"PLN";"";"Prawo własności";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"397/4";"12511";"304/10000
"
"";"2017-05-29";"dolnośląskie";"Wrocław";"Wrocław-Krzyki (delegatura)";"Wrocław-Krzyki";"Krzyki";"Ołtaszyn (19)";"7";"ul. ADM. JÓZEFA UNRUGA ";"58 ";"2";"119.66";"590000.00";"4930.64";"";"";"";"";"4";"";"";"Prawo własności";"(ws - współwłasność)";"Umowa ostateczna sprzedaży rynek wtórny";"lokal położony na I, II i III kondygnacji, 3 pokoje, pokój połączony z kuchnią ikorytarzem, 2 łazienki, korytarz i klatka schodowa na parterze o pow. 119.66 m2;Obręb: 0019 - Ołtaszyn, Ark.: 7, Nr dz.: 397/4;księga gruntowa: WR1K/00114838/5";"";"590000.00";"4930.64";"";"";"WR1K/00323364/9";"Sąd Rejonowy dla Wrocławia - Krzyków";"1677/2017";"RCiWN";"osoba fizyczna";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"52-212";"";"";"";"";"Transakcja";"";"PLN";"";"Prawo własności";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"397/4";"12511";"303/10000
"
"";"2017-06-01";"dolnośląskie";"Wrocław";"Wrocław-Krzyki (delegatura)";"Wrocław-Krzyki";"Krzyki";"Partynice (21)";"11";"ul. AGRESTOWA ";"131ca ";"1";"95.7";"465360.00";"4862.70";"";"";"";"";"4";"";"wielorodzinne";"Prawo własności";"(ws - współwłasność)";"Umowa ostateczna sprzedaży rynek wtórny";"brutto;parter, 4 pokoje w tym jeden z aneksem kuchennym połączony z przedpokojem,łazienka, wc, przedsionek, oraz pom. przynależne-garaż 2 stanowiskowy w piwnicy opow-ni 57.22m2.;Obręb: 0021 - Partynice, Ark.: 11, Nr dz.: 2/2;księga gruntowa: WR1K/00316612/1";"";"465360.00";"4862.70";"";"";"WR1K/00359755/8";"Sąd Rejonowy dla Wrocławia - Krzyków";"11579/2017";"RCiWN";"osoba fizyczna";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"53-035";"";"";"";"";"Transakcja";"";"PLN";"";"Prawo własności";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"2/2";"32455";"15346/1839516
"
"";"2017-06-09";"dolnośląskie";"Wrocław";"Wrocław-Krzyki (delegatura)";"Wrocław-Krzyki";"Krzyki";"Partynice (21)";"11";"ul. AGRESTOWA ";"131fb ";"2";"103.18";"484680.00";"4697.42";"";"";"";"";"3";"";"wielorodzinne";"Prawo własności";"(ws - współwłasność)";"Umowa ostateczna sprzedaży rynek wtórny";"brutto;1 piętro, położone na 2 poziomach: 3 pokoje w tym jeden z aneksem kuchennympołączony z przedpokojem, łazienka, pom. gospodarcze, schody na parter i poddaszenieużytkowe o pow-ni 68.68m2, oraz pom. przynależne-garaż 2 stanowiskowy o pow-n35.61m2.;Obręb: 0021 - Partynice, Ark.: 11, Nr dz.: 2/2;księga gruntowa: WR1K/00316612/1";"";"484680.00";"4697.42";"";"";"WR1K/00360140/4";"Sąd Rejonowy dla Wrocławia - Krzyków";"12671/2017";"RCiWN";"osoba fizyczna";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"53-035";"";"";"";"";"Transakcja";"";"PLN";"";"Prawo własności";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"2/2";"32455";"14025/1839516
"
"";"2017-06-01";"dolnośląskie";"Wrocław";"Wrocław-Krzyki (delegatura)";"Wrocław-Krzyki";"Krzyki";"Partynice (21)";"11";"ul. AGRESTOWA ";"131fc ";"2";"102.67";"524558.00";"5109.17";"";"";"";"";"3";"";"wielorodzinne";"Prawo własności";"(ws - współwłasność)";"Umowa ostateczna sprzedaży rynek wtórny";"brutto;1 piętro, położone na 2 poziomach: 3 pokoje w tym jeden z aneksem kuchennympołączony z przedpokojem, łazienka, pom. gospodarcze, schody na parter i poddaszenieużytkowe o pow-ni 68.68m2, oraz pom. przynależne-garaż 2 stanowiskowy o pow-n35.61m2.;Obręb: 0021 - Partynice, Ark.: 11, Nr dz.: 2/2;księga gruntowa: WR1K/00316612/1";"";"524558.00";"5109.17";"";"";"WR1K/00359764/4";"Sąd Rejonowy dla Wrocławia - Krzyków";"11587/2017";"RCiWN";"osoba fizyczna";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"53-035";"";"";"";"";"Transakcja";"";"PLN";"";"Prawo własności";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"2/2";"32455";"13898/1839516
"
